DATE,CPALTT01ESM657N
1980-06-01,1.551877992
1980-07-01,1.412932384
1980-08-01,1.17140914
1980-09-01,1.06425852
1980-10-01,0.801690332
1980-11-01,1.021051273
1980-12-01,1.397875888
1981-01-01,2.032030611
1981-02-01,0.507309746
1981-03-01,1.991503681
1981-04-01,0.994681329
1981-05-01,0.465760199
1981-06-01,0.086924767
1981-07-01,1.958941574
1981-08-01,1.218559316
1981-09-01,0.79480043
1981-10-01,1.124820889
1981-11-01,0.866913318
1981-12-01,1.514288773
1982-01-01,2.071807746
1982-02-01,0.77898888
1982-03-01,0.981992327
1982-04-01,1.315279372
1982-05-01,1.447176838
1982-06-01,0.960811606
1982-07-01,1.284129059
1982-08-01,0.693419681
1982-09-01,0.116132297
1982-10-01,1.001242034
1982-11-01,0.326407915
1982-12-01,2.225211731
1983-01-01,1.689554776
1983-02-01,0.502309211
1983-03-01,0.607445744
1983-04-01,1.373790865
1983-05-01,0.414654681
1983-06-01,0.585631179
1983-07-01,0.356421867
1983-08-01,1.342531074
1983-09-01,0.799985129
1983-10-01,1.3560998
1983-11-01,1.018282971
1983-12-01,1.552026524
1984-01-01,1.549315979
1984-02-01,0.379265503
1984-03-01,0.805467503
1984-04-01,0.471921839
1984-05-01,0.540927071
1984-06-01,0.708357261
1984-07-01,1.535705271
1984-08-01,0.694387444
1984-09-01,0.203112823
1984-10-01,0.603196726
1984-11-01,0.513463274
1984-12-01,0.677346164
1985-01-01,1.862616439
1985-02-01,0.725115728
1985-03-01,0.622868885
1985-04-01,1.0311691
1985-05-01,0.314043991
1985-06-01,-0.170341898
1985-07-01,0.568774498
1985-08-01,0.149797861
1985-09-01,1.097374179
1985-10-01,0.514801478
1985-11-01,0.770502389
1985-12-01,0.414350553
1986-01-01,2.875123583
1986-02-01,0.445836916
1986-03-01,0.337561614
1986-04-01,0.243370538
1986-05-01,0.278484678
1986-06-01,0.918579812
1986-07-01,0.999126516
1986-08-01,0.283636808
1986-09-01,1.035208159
1986-10-01,0.373710856
1986-11-01,-0.229435166
1986-12-01,0.426878156
1987-01-01,0.766489308
1987-02-01,0.425914743
1987-03-01,0.581284836
1987-04-01,0.226320466
1987-05-01,-0.123658011
1987-06-01,0.024223755
1987-07-01,1.013118353
1987-08-01,-0.043953856
1987-09-01,0.922112024
1987-10-01,0.594161378
1987-11-01,-0.229697981
1987-12-01,0.357839731
1988-01-01,0.63447026
1988-02-01,0.273551832
1988-03-01,0.724882011
1988-04-01,-0.348226038
1988-05-01,-0.005176712
1988-06-01,0.3882892
1988-07-01,1.320234631
1988-08-01,0.988726485
1988-09-01,0.878242732
1988-10-01,0.11241535
1988-11-01,-0.056145403
1988-12-01,0.795207376
1989-01-01,1.161723925
1989-02-01,0.071010072
1989-03-01,0.638625585
1989-04-01,0.268660541
1989-05-01,0.141849605
1989-06-01,0.544807384
1989-07-01,1.623158614
1989-08-01,0.229868202
1989-09-01,1.058045328
1989-10-01,0.403578626
1989-11-01,0.161948164
1989-12-01,0.389675664
1990-01-01,0.97330336
1990-02-01,0.634582093
1990-03-01,0.366033231
1990-04-01,0.227226249
1990-05-01,-0.00793495
1990-06-01,0.308351321
1990-07-01,1.343761075
1990-08-01,0.438263836
1990-09-01,1.052573985
1990-10-01,0.8877849
1990-11-01,-0.100195297
1990-12-01,0.246377506
1991-01-01,1.163613231
1991-02-01,-0.139746799
1991-03-01,0.325097413
1991-04-01,0.216745812
1991-05-01,0.283728657
1991-06-01,0.288265011
1991-07-01,1.241296382
1991-08-01,0.37118845
1991-09-01,0.817155519
1991-10-01,0.628683313
1991-11-01,0.151799689
1991-12-01,0.054647849
1992-01-01,1.584945205
1992-02-01,0.666490887
1992-03-01,0.361775467
1992-04-01,-0.107438402
1992-05-01,0.261346202
1992-06-01,-0.019049495
1992-07-01,0.32489058
1992-08-01,0.911543742
1992-09-01,0.825063916
1992-10-01,0.059924251
1992-11-01,0.063815317
1992-12-01,0.300232957
1993-01-01,0.93712979
1993-02-01,0.031981078
1993-03-01,0.351683317
1993-04-01,0.438304164
1993-05-01,0.27586823
1993-06-01,0.248270402
1993-07-01,0.357616609
1993-08-01,0.598351884
1993-09-01,0.565431732
1993-10-01,0.372951746
1993-11-01,0.16795511
1993-12-01,0.474919261
1994-01-01,1.010610145
1994-02-01,0.035995891
1994-03-01,0.330303709
1994-04-01,0.393588752
1994-05-01,0.204266156
1994-06-01,0.107866927
1994-07-01,0.391737745
1994-08-01,0.645801179
1994-09-01,0.30456197
1994-10-01,0.217140007
1994-11-01,0.173515851
1994-12-01,0.441564794
1995-01-01,1.036510418
1995-02-01,0.489944493
1995-03-01,0.58260245
1995-04-01,0.530230496
1995-05-01,0.040036348
1995-06-01,0.094829825
1995-07-01,0.015645189
1995-08-01,0.282439233
1995-09-01,0.393434528
1995-10-01,0.186451819
1995-11-01,0.26537055
1995-12-01,0.323101453
1996-01-01,0.611573741
1996-02-01,0.272428991
1996-03-01,0.354892892
1996-04-01,0.567682032
1996-05-01,0.344911938
1996-06-01,-0.083835648
1996-07-01,0.133409937
1996-08-01,0.283224809
1996-09-01,0.243988305
1996-10-01,0.136700931
1996-11-01,0.005825747
1996-12-01,0.296318854
1997-01-01,0.290463664
1997-02-01,-0.067854439
1997-03-01,0.049683493
1997-04-01,0.036415947
1997-05-01,0.145612997
1997-06-01,-0.003305538
1997-07-01,0.183409866
1997-08-01,0.441188918
1997-09-01,0.495082201
1997-10-01,-0.036763743
1997-11-01,0.198600759
1997-12-01,0.265907243
1998-01-01,0.235915989
1998-02-01,-0.233737074
1998-03-01,0.046369027
1998-04-01,0.247999299
1998-05-01,0.130587394
1998-06-01,0.064803126
1998-07-01,0.369141451
1998-08-01,0.267772212
1998-09-01,0.074004025
1998-10-01,0.008841646
1998-11-01,-0.090016568
1998-12-01,0.276729413
1999-01-01,0.367419697
1999-02-01,0.059147779
1999-03-01,0.440946793
1999-04-01,0.369820405
1999-05-01,-0.003170464
1999-06-01,0.021395422
1999-07-01,0.433352968
1999-08-01,0.425961356
1999-09-01,0.192441043
1999-10-01,-0.03762977
1999-11-01,0.16077254
1999-12-01,0.451007424
2000-01-01,0.328942072
2000-02-01,0.141401
2000-03-01,0.396449713
2000-04-01,0.415749383
2000-05-01,0.166227271
2000-06-01,0.302706356
2000-07-01,0.607416103
2000-08-01,0.419502399
2000-09-01,0.258535602
2000-10-01,0.255599097
2000-11-01,0.248914443
2000-12-01,0.346108466
2001-01-01,0.035242217
2001-02-01,0.328303189
2001-03-01,0.421364136
2001-04-01,0.519287846
2001-05-01,0.378201868
