DATE,CLVMNACSCAB1GQBE
2017-01-01,99313.3
2017-04-01,99553.1
2017-07-01,99489.0
2017-10-01,100286.6
2018-01-01,100704.0
2018-04-01,101175.3
2018-07-01,101566.7
2018-10-01,102545.6
2019-01-01,102796.6
2019-04-01,103240.1
2019-07-01,103931.7
2019-10-01,104596.4
2020-01-01,101299.0
2020-04-01,89512.1
2020-07-01,100159.2
2020-10-01,100044.0
2021-01-01,101361.3
2021-04-01,103096.0
2021-07-01,105263.0
2021-10-01,105712.0
2022-01-01,106281.8
2022-04-01,106488.2
