DATE,XTIMVA01PLM664S
1997-03-01,9755640106.0
1997-04-01,11401487280.0
1997-05-01,10540446650.0
1997-06-01,11347549210.0
1997-07-01,11485618290.0
1997-08-01,11673109170.0
1997-09-01,12397866940.0
1997-10-01,12286631320.0
1997-11-01,12745626450.0
1997-12-01,13468901190.0
1998-01-01,13121290740.0
1998-02-01,13947993100.0
1998-03-01,14176343190.0
1998-04-01,13231134610.0
1998-05-01,13310230610.0
1998-06-01,13660624700.0
1998-07-01,13653742050.0
1998-08-01,13582070280.0
1998-09-01,14266744820.0
1998-10-01,13720704370.0
1998-11-01,13237843790.0
1998-12-01,12903434770.0
1999-01-01,12884197020.0
1999-02-01,13079785990.0
1999-03-01,15299049300.0
1999-04-01,14506476960.0
1999-05-01,14774155780.0
1999-06-01,14546520380.0
1999-07-01,14606551960.0
1999-08-01,15468195590.0
1999-09-01,15955642920.0
1999-10-01,15670507990.0
1999-11-01,17286817760.0
1999-12-01,17566661120.0
2000-01-01,16823963580.0
2000-02-01,17744703830.0
2000-03-01,17178543090.000002
2000-04-01,16416996950.000002
2000-05-01,19443010740.0
2000-06-01,18206889170.0
2000-07-01,17684731730.0
2000-08-01,17800210300.0
2000-09-01,17190508090.0
2000-10-01,18122564440.0
2000-11-01,18018471380.0
2000-12-01,18414270920.0
2001-01-01,19157803100.0
2001-02-01,17270340480.0
2001-03-01,17724784770.0
2001-04-01,16580762860.0
2001-05-01,17018713870.0
2001-06-01,16416683700.0
2001-07-01,17172213170.0
2001-08-01,17968243690.0
2001-09-01,16890895930.0
2001-10-01,17590326130.0
2001-11-01,16879966570.0
2001-12-01,16023239109.999998
2002-01-01,17001683069.999998
2002-02-01,17816741460.0
2002-03-01,17306569360.0
2002-04-01,19050004100.0
2002-05-01,17657341040.0
2002-06-01,18657084140.0
2002-07-01,20112538550.0
2002-08-01,19146756600.0
2002-09-01,19048902750.0
2002-10-01,19798846830.0
2002-11-01,19478520590.0
2002-12-01,19538310920.0
2003-01-01,20408509770.0
2003-02-01,20468044670.0
2003-03-01,20985569280.0
2003-04-01,21386589830.0
2003-05-01,21137342030.0
2003-06-01,20449321780.0
2003-07-01,23566224420.0
2003-08-01,21300235420.0
2003-09-01,23303225580.0
2003-10-01,23413341220.0
2003-11-01,23190094120.0
2003-12-01,25314853690.0
2004-01-01,24466378310.0
2004-02-01,24779000720.0
2004-03-01,28648917790.0
2004-04-01,33003529890.000004
2004-05-01,26955752110.0
2004-06-01,27883720300.0
2004-07-01,26616551710.0
2004-08-01,26697988460.0
2004-09-01,27617461480.0
2004-10-01,25774603300.0
2004-11-01,26668249260.0
2004-12-01,26386609210.0
2005-01-01,25622577140.0
2005-02-01,26106041600.0
2005-03-01,25505169480.0
2005-04-01,27663899110.0
2005-05-01,26775725550.0
2005-06-01,27390494120.0
2005-07-01,26489701680.0
2005-08-01,28355620580.0
2005-09-01,27848113780.0
2005-10-01,27458043580.0
2005-11-01,29903609610.0
2005-12-01,29359562970.0
2006-01-01,30164313170.0
2006-02-01,30461883110.0
2006-03-01,31023276420.0
2006-04-01,29836551680.0
2006-05-01,33421239510.0
2006-06-01,32492835690.0
2006-07-01,32963019269.999996
2006-08-01,34171144440.0
2006-09-01,34066240960.0
2006-10-01,35168653720.0
2006-11-01,34926925260.0
2006-12-01,35342573080.0
2007-01-01,37567362210.0
2007-02-01,35923294490.0
2007-03-01,37585119130.0
2007-04-01,37001253620.0
2007-05-01,37521024240.0
2007-06-01,37343173570.0
2007-07-01,38581935670.0
2007-08-01,38467443950.0
2007-09-01,37738000320.0
2007-10-01,40156406210.0
2007-11-01,40533153700.0
2007-12-01,38473865360.0
2008-01-01,43060629490.0
2008-02-01,44073062920.0
2008-03-01,39321821140.0
2008-04-01,45565342360.0
2008-05-01,39997506010.0
2008-06-01,41433294240.0
2008-07-01,41583574160.0
2008-08-01,40145695060.0
2008-09-01,42250957420.0
2008-10-01,41538768240.0
2008-11-01,39158671450.0
2008-12-01,39505678490.0
2009-01-01,37418647620.0
2009-02-01,38867681320.0
2009-03-01,39343956010.0
2009-04-01,38685831920.0
2009-05-01,36420110760.0
2009-06-01,39127711990.0
2009-07-01,39083360600.0
2009-08-01,37627192480.0
2009-09-01,38853516420.0
2009-10-01,39362248430.0
