DATE,XTIMVA01DEM667S
1976-08-01,7781550247.0
1976-09-01,7536312114.0
1976-10-01,7844861217.0
1976-11-01,7776611675.0
1976-12-01,8237146357.0
1977-01-01,7868140593.0
1977-02-01,7923873466.0
1977-03-01,8121008529.999999
1977-04-01,8101900084.0
1977-05-01,7994149332.0
1977-06-01,8438607440.0
1977-07-01,8775337054.0
1977-08-01,8421345325.000001
1977-09-01,8560702000.999999
1977-10-01,8656318946.0
1977-11-01,8875062957.0
1977-12-01,9207006785.0
1978-01-01,9335924666.0
1978-02-01,9377654443.0
1978-03-01,9582874262.0
1978-04-01,9897479008.0
1978-05-01,9365188259.0
1978-06-01,9554368924.0
1978-07-01,9865809134.0
1978-08-01,10017594200.0
1978-09-01,10697030640.0
1978-10-01,11364312250.0
1978-11-01,11190557820.0
1978-12-01,11239446230.0
1979-01-01,11480607820.0
1979-02-01,11656009740.0
1979-03-01,12199617140.0
1979-04-01,12023333600.0
1979-05-01,12567994020.0
1979-06-01,12912719860.0
1979-07-01,14130263330.0
1979-08-01,13822837880.0
1979-09-01,14034815530.0
1979-10-01,14624458140.0
1979-11-01,14961669190.0
1979-12-01,15881249370.0
1980-01-01,16118979410.000002
1980-02-01,16745388200.0
1980-03-01,15122887180.0
1980-04-01,15157421170.0
1980-05-01,16432424560.000002
1980-06-01,16184194360.0
1980-07-01,16050476250.0
1980-08-01,15539620830.0
1980-09-01,15682923840.0
1980-10-01,15327754670.0
1980-11-01,15100532950.0
1980-12-01,14860813670.0
1981-01-01,14697213630.0
1981-02-01,13958499770.0
1981-03-01,15029849870.0
1981-04-01,13683841380.0
1981-05-01,13339277790.0
1981-06-01,13109089030.0
1981-07-01,12841672450.0
1981-08-01,12823063880.0
1981-09-01,13168391830.0
1981-10-01,13850969990.0
1981-11-01,14389541410.0
1981-12-01,13249589990.0
1982-01-01,14292636670.0
1982-02-01,13488482760.0
1982-03-01,13203291210.0
1982-04-01,13465140440.0
1982-05-01,13617556350.0
1982-06-01,12770827020.0
1982-07-01,12401469740.0
1982-08-01,12496786640.0
1982-09-01,12398362760.0
1982-10-01,12458353290.0
1982-11-01,12178488240.0
1982-12-01,12305800990.0
1983-01-01,12961355090.0
1983-02-01,12546986110.0
1983-03-01,12719921010.0
1983-04-01,12873736550.0
1983-05-01,12837586000.0
1983-06-01,12772767350.0
1983-07-01,12372739150.0
1983-08-01,12082234540.0
1983-09-01,12830162690.0
1983-10-01,12603218420.0
1983-11-01,12942188900.0
1983-12-01,12590935880.0
1984-01-01,12488766250.0
1984-02-01,13279612410.0
1984-03-01,13469260250.0
1984-04-01,13629993560.0
1984-05-01,12868613040.0
1984-06-01,12767521140.0
1984-07-01,12791365640.0
1984-08-01,12796352420.0
1984-09-01,12484709440.0
1984-10-01,11600868860.0
1984-11-01,12486664100.0
1984-12-01,12552163010.0
1985-01-01,12653700370.0
1985-02-01,12033505790.0
1985-03-01,12168766300.0
1985-04-01,12532084000.0
1985-05-01,12681098000.0
1985-06-01,12741542740.0
1985-07-01,13629874860.0
1985-08-01,14510996770.0
1985-09-01,13471383480.0
1985-10-01,13697614430.0
1985-11-01,14573117200.0
1985-12-01,15276397380.0
1986-01-01,15374209960.0
1986-02-01,15937571910.0
1986-03-01,15940040420.0
1986-04-01,15812764310.0
1986-05-01,15641724530.0
1986-06-01,15347559360.0
1986-07-01,15432635940.0
1986-08-01,16045360100.0
1986-09-01,16901761140.000002
1986-10-01,16673384899.999998
1986-11-01,16195631370.000002
1986-12-01,16604621600.000002
1987-01-01,17388898120.0
1987-02-01,18043107310.0
1987-03-01,18631523040.0
1987-04-01,18899516840.0
1987-05-01,19040409620.0
1987-06-01,19135574820.0
1987-07-01,18531145100.0
1987-08-01,18767799850.0
1987-09-01,19239971810.0
1987-10-01,19828541200.0
1987-11-01,20335420180.0
1987-12-01,20921105870.0
1988-01-01,18510850950.0
1988-02-01,19931585180.0
1988-03-01,21708139950.0
1988-04-01,20421992280.0
1988-05-01,21931627810.0
1988-06-01,20452832940.0
1988-07-01,20213707730.0
1988-08-01,20227721520.0
1988-09-01,19781470190.0
1988-10-01,22441310460.0
1988-11-01,21207256420.0
1988-12-01,21992642670.0
1989-01-01,21451452040.0
1989-02-01,22136290730.0
1989-03-01,21527551950.0
1989-04-01,22549569410.0
1989-05-01,21360395320.0
1989-06-01,22086888330.0
1989-07-01,22376239960.0
1989-08-01,21929894830.0
1989-09-01,22037944970.0
1989-10-01,23685761270.0
1989-11-01,23617005250.0
1989-12-01,24652847420.0
1990-01-01,25664632940.0
1990-02-01,25778212830.0
1990-03-01,25483388650.0
1990-04-01,26646185290.0
1990-05-01,25275993260.0
1990-06-01,26201618050.0
1990-07-01,28173876070.0
1990-08-01,30868418990.0
1990-09-01,31521530770.0
1990-10-01,32787443300.0
1990-11-01,35788926900.0
1990-12-01,35435407800.0
1991-01-01,36979434770.0
1991-02-01,35365910400.0
1991-03-01,32995933649.999996
1991-04-01,30140979550.0
1991-05-01,33085506619.999996
1991-06-01,30329998370.0
1991-07-01,31053598700.0
1991-08-01,31611071560.0
1991-09-01,32239969010.000004
1991-10-01,31832101630.0
1991-11-01,33760634770.000004
1991-12-01,33618172270.000004
1992-01-01,34965389880.0
1992-02-01,33704133919.999996
1992-03-01,32449987840.0
1992-04-01,34125869560.0
1992-05-01,32621303779.999996
1992-06-01,31748066390.0
1992-07-01,37138000400.0
1992-08-01,35000623690.0
1992-09-01,35220341300.0
1992-10-01,34733639760.0
1992-11-01,31931918370.0
1992-12-01,33302840230.0
1993-01-01,29328976920.0
1993-02-01,30122689410.0
1993-03-01,27697896020.0
1993-04-01,30256543050.0
1993-05-01,28763280370.0
1993-06-01,27937046360.0
1993-07-01,27342380210.0
1993-08-01,28527086940.0
1993-09-01,29471245840.0
1993-10-01,28728491940.0
1993-11-01,29015313290.0
1993-12-01,28020487110.0
1994-01-01,27613433710.0
1994-02-01,28371469030.0
1994-03-01,30314613780.0
1994-04-01,29299443650.0
1994-05-01,31641549400.0
1994-06-01,31390753390.0
1994-07-01,33055755620.0
1994-08-01,32926346799.999996
1994-09-01,34251301050.000004
1994-10-01,34733419990.0
1994-11-01,34904199520.0
1994-12-01,35526620110.0
1995-01-01,34255443479.999996
1995-02-01,37139145660.0
1995-03-01,40156668850.0
1995-04-01,39071267130.0
1995-05-01,38694228530.0
1995-06-01,40868089550.0
1995-07-01,39654333600.0
1995-08-01,36961952320.0
1995-09-01,39429575600.0
1995-10-01,39495513540.0
1995-11-01,38785220400.0
1995-12-01,39219774210.0
1996-01-01,40770431760.0
1996-02-01,37646492460.0
1996-03-01,38515702100.0
1996-04-01,37962518640.0
1996-05-01,35981455780.0
1996-06-01,37761834950.0
1996-07-01,38128938340.0
1996-08-01,37591822900.0
1996-09-01,38706158850.0
