DATE,XTIMVA01ITM664S
1977-06-01,1831656836.0
1977-07-01,1788361287.0
1977-08-01,1748539392.0
1977-09-01,1752439048.0
1977-10-01,1920553222.0
1977-11-01,1686588195.0
1977-12-01,2001246811.0000002
1978-01-01,1776901150.0
1978-02-01,1773858977.0
1978-03-01,1774621911.0
1978-04-01,1915145264.0
1978-05-01,1974701062.0
1978-06-01,1784410050.0
1978-07-01,2315982642.0
1978-08-01,1806027634.0
1978-09-01,1995084049.0
1978-10-01,2170014360.0
1978-11-01,2231024965.0
1978-12-01,2952513170.0
1979-01-01,2235779538.0
1979-02-01,2459253284.0
1979-03-01,2638717461.0
1979-04-01,2112643063.0000002
1979-05-01,2690149080.0
1979-06-01,2761679084.0
1979-07-01,2641168355.0
1979-08-01,2775683702.0
1979-09-01,2903805928.0
1979-10-01,2936183596.0
1979-11-01,3361755709.0
1979-12-01,3551061898.0
1980-01-01,3377745684.0
1980-02-01,3383692774.0
1980-03-01,3569016888.0
1980-04-01,3376957145.0
1980-05-01,3407174622.0
1980-06-01,3556775117.0
1980-07-01,3858621268.0
1980-08-01,4216467206.0
1980-09-01,3952661954.0
1980-10-01,3933878103.0
1980-11-01,3874822412.0
1980-12-01,3702992406.0
1981-01-01,3711349832.0
1981-02-01,4055253916.0
1981-03-01,3639439225.0
1981-04-01,4713449366.0
1981-05-01,4572387097.0
1981-06-01,4563386911.0
1981-07-01,4645222132.0
1981-08-01,4621119653.0
1981-09-01,5430178137.0
1981-10-01,4771574372.0
1981-11-01,4684448605.0
1981-12-01,4211678626.0000005
1982-01-01,5367758406.0
1982-02-01,5684924070.0
1982-03-01,5049686018.0
1982-04-01,5010588401.0
1982-05-01,4982542940.0
1982-06-01,5084202099.0
1982-07-01,5102291760.0
1982-08-01,5005910009.0
1982-09-01,4903789618.0
1982-10-01,4890854914.0
1982-11-01,5263787060.0
1982-12-01,4089107571.9999995
1983-01-01,6296058084.0
1983-02-01,4527502840.0
1983-03-01,4498601765.0
1983-04-01,5744492357.0
1983-05-01,4159969368.9999995
1983-06-01,5179260644.0
1983-07-01,5344641089.0
1983-08-01,5317544827.0
1983-09-01,5651709908.0
1983-10-01,5494518485.0
1983-11-01,5285501693.0
1983-12-01,5725043473.0
1984-01-01,6158958336.0
1984-02-01,5499510113.0
1984-03-01,6344124132.0
1984-04-01,6072080996.0
1984-05-01,6276730296.0
1984-06-01,5267765716.0
1984-07-01,6036486768.0
1984-08-01,6917689553.0
1984-09-01,6834294919.0
1984-10-01,6951282638.0
1984-11-01,7044878753.0
1984-12-01,7150651100.0
1985-01-01,6878514665.0
1985-02-01,7605959860.0
1985-03-01,7641013651.0
1985-04-01,7239705965.0
1985-05-01,7732099919.0
1985-06-01,7640357263.0
1985-07-01,6316633967.0
1985-08-01,7626367031.0
1985-09-01,6809167085.0
1985-10-01,7152790865.0
1985-11-01,7546462218.0
1985-12-01,9136310365.0
1986-01-01,7412995483.0
1986-02-01,7536838917.0
1986-03-01,6521273916.0
1986-04-01,6691858083.0
1986-05-01,6358388008.0
1986-06-01,6100724856.0
1986-07-01,6383633531.0
1986-08-01,5311228072.0
1986-09-01,6088482828.0
1986-10-01,6725987738.0
1986-11-01,6107541270.0
1986-12-01,5697021316.0
1987-01-01,6184860362.0
1987-02-01,6541150617.0
1987-03-01,6736561476.0
1987-04-01,6831313593.0
1987-05-01,6670975829.0
1987-06-01,6995731932.0
1987-07-01,7423617979.0
1987-08-01,6429864101.0
1987-09-01,7441021578.0
1987-10-01,7311537709.0
1987-11-01,7168069752.0
1987-12-01,7595304122.0
1988-01-01,6521720038.0
1988-02-01,6809343194.0
1988-03-01,7600860617.0
1988-04-01,7442238491.0
1988-05-01,7634052196.0
1988-06-01,7904824983.0
1988-07-01,7900376488.0
1988-08-01,7769619826.0
1988-09-01,8195875787.0
1988-10-01,8259423819.0
1988-11-01,8300454407.0
1988-12-01,8529426699.0
1989-01-01,8784733389.0
1989-02-01,8879461372.0
1989-03-01,8788014522.0
1989-04-01,9032479521.0
1989-05-01,9050882126.0
1989-06-01,9419972030.0
1989-07-01,8892889567.0
1989-08-01,9201092455.0
1989-09-01,9152072528.0
1989-10-01,9208932661.0
1989-11-01,9201193294.0
1989-12-01,9156452430.0
1990-01-01,9629221238.0
1990-02-01,9277430511.0
1990-03-01,9202508383.0
1990-04-01,9016081003.0
1990-05-01,9503918816.0
1990-06-01,9016440596.0
1990-07-01,9108575785.0
1990-08-01,9211884951.0
1990-09-01,9314772860.0
1990-10-01,9685693221.0
1990-11-01,10094654310.0
1990-12-01,9332302642.0
1991-01-01,10010000400.0
1991-02-01,9451314300.0
1991-03-01,9101187700.0
1991-04-01,9511840900.0
1991-05-01,9528758900.0
1991-06-01,9868139400.0
1991-07-01,9996139200.0
1991-08-01,9755049100.0
1991-09-01,9829193200.0
1991-10-01,9823048900.0
1991-11-01,9717830000.0
1991-12-01,9880900100.0
1992-01-01,9690209500.0
1992-02-01,10036330100.0
1992-03-01,9932665400.0
1992-04-01,9953601300.0
1992-05-01,10325267300.0
1992-06-01,9927726600.0
1992-07-01,10136593700.0
1992-08-01,9254824500.0
1992-09-01,9733307300.0
1992-10-01,10149662100.0
1992-11-01,10073900600.0
1992-12-01,9672634000.0
1993-01-01,9162300600.0
1993-02-01,9944084700.0
1993-03-01,9976061200.0
1993-04-01,9842797500.0
1993-05-01,9836210300.0
1993-06-01,9611678000.0
1993-07-01,9571786200.0
1993-08-01,9656460900.0
1993-09-01,9975316900.0
1993-10-01,9959328300.0
1993-11-01,10155236400.0
1993-12-01,9730214100.0
1994-01-01,10561626900.0
1994-02-01,10668036900.0
1994-03-01,10813720100.0
1994-04-01,11017219300.0
1994-05-01,10961060600.0
1994-06-01,11428891200.0
1994-07-01,11432510500.0
1994-08-01,11771652400.0
1994-09-01,11945685100.0
1994-10-01,12199468200.0
1994-11-01,12543990600.0
1994-12-01,13190518700.0
1995-01-01,12773400000.0
1995-02-01,12709200000.0
1995-03-01,12247300000.0
1995-04-01,12397600000.0
1995-05-01,13221300000.0
1995-06-01,13474500000.0
1995-07-01,13389800000.0
1995-08-01,13888800000.0
1995-09-01,13473500000.0
1995-10-01,13393200000.0
1995-11-01,13622000000.0
1995-12-01,14015700000.0
1996-01-01,13622500000.0
1996-02-01,13840900000.0
1996-03-01,13917300000.0
1996-04-01,13675000000.0
1996-05-01,13630800000.0
1996-06-01,13280300000.0
1996-07-01,13430100000.0
1996-08-01,13187100000.0
1996-09-01,13564600000.0
1996-10-01,13948000000.0
1996-11-01,13814100000.0
1996-12-01,13881800000.0
1997-01-01,14378500000.0
1997-02-01,14151100000.0
1997-03-01,14500000000
1997-04-01,15386800000.0
1997-05-01,15283700000.0
1997-06-01,15346300000.0
1997-07-01,15588500000.0
1997-08-01,15565100000.0
1997-09-01,16310400000.000002
1997-10-01,16091100000.0
1997-11-01,16277600000.0
1997-12-01,16411300000.0
1998-01-01,16662600000.000002
1998-02-01,16607500000.000002
1998-03-01,16616800000.000002
1998-04-01,16429099999.999998
1998-05-01,16008400000.000002
1998-06-01,16577600000.0
1998-07-01,15905200000.0
1998-08-01,15785500000.0
1998-09-01,16013500000.0
1998-10-01,15714700000.0
1998-11-01,15970600000.0
1998-12-01,15267200000.0
1999-01-01,15615900000.0
1999-02-01,15850400000.0
1999-03-01,16372399999.999998
1999-04-01,16531700000.0
1999-05-01,16599300000.0
1999-06-01,16774999999.999998
1999-07-01,16869499999.999998
1999-08-01,16513700000.0
1999-09-01,17851800000.0
1999-10-01,18491500000.0
1999-11-01,18704200000.0
1999-12-01,18849000000.0
2000-01-01,19050500000.0
2000-02-01,20363900000.0
2000-03-01,20280900000.0
2000-04-01,20351600000.0
2000-05-01,21399600000.0
2000-06-01,21003000000.0
2000-07-01,21491800000.0
2000-08-01,22362900000.0
2000-09-01,23263100000.0
2000-10-01,23006400000.0
2000-11-01,23155700000.0
2000-12-01,23385800000.0
2001-01-01,22669400000.0
2001-02-01,22058000000.0
2001-03-01,22573300000.0
2001-04-01,22260600000.0
2001-05-01,22386300000.0
2001-06-01,22787500000.0
2001-07-01,22116100000.0
2001-08-01,21863200000.0
2001-09-01,21660400000.0
2001-10-01,21075000000.0
2001-11-01,20893600000.0
2001-12-01,21592100000.0
2002-01-01,21541000000.0
2002-02-01,21412600000.0
2002-03-01,21137000000.0
2002-04-01,21756100000.0
2002-05-01,21460600000.0
2002-06-01,21584700000.0
2002-07-01,21799500000.0
2002-08-01,21714400000.0
2002-09-01,21326100000.0
2002-10-01,22331000000.0
2002-11-01,22289400000.0
2002-12-01,23000500000.0
2003-01-01,22471500000.0
2003-02-01,21840600000.0
2003-03-01,22379900000.0
2003-04-01,21731800000.0
2003-05-01,21446000000.0
2003-06-01,21096500000.0
2003-07-01,21182200000.0
2003-08-01,21006200000.0
2003-09-01,21172200000.0
2003-10-01,21450200000.0
2003-11-01,21387800000.0
2003-12-01,24942000000.0
2004-01-01,22086800000.0
2004-02-01,22908900000.0
2004-03-01,22584500000.0
2004-04-01,23641700000.0
2004-05-01,23941100000.0
2004-06-01,23933200000.0
2004-07-01,23657200000.0
2004-08-01,23386700000.0
2004-09-01,24255200000.0
2004-10-01,24685800000.0
2004-11-01,24894400000.0
2004-12-01,23744100000.0
2005-01-01,23894400000.0
2005-02-01,24295200000.0
2005-03-01,25197000000.0
2005-04-01,25630100000.0
2005-05-01,25346400000.0
2005-06-01,25401600000.0
2005-07-01,25907500000.0
2005-08-01,26215200000.0
2005-09-01,26682800000.0
2005-10-01,26632200000.0
2005-11-01,27486100000.0
2005-12-01,26705700000.0
2006-01-01,27379500000.0
2006-02-01,28684300000.0
2006-03-01,28684800000.0
2006-04-01,28637500000.0
2006-05-01,29460700000.0
2006-06-01,29178400000.0
2006-07-01,29611600000.0
2006-08-01,30184600000.0
2006-09-01,30052900000.0
2006-10-01,30156500000.0
2006-11-01,30450800000.0
2006-12-01,31132100000.0
2007-01-01,30592300000.0
2007-02-01,30770400000.0
2007-03-01,30863400000.0
2007-04-01,30357700000.0
2007-05-01,30694200000.0
2007-06-01,31489300000.0
2007-07-01,31923800000.0
2007-08-01,31719700000.0
2007-09-01,31401200000.0
2007-10-01,31281800000.0
2007-11-01,31780400000.0
2007-12-01,32194300000.0
